Train set: 14951 entities, 1345 relations, 483142 triplets.
Test set: 59071 triplets
epoch 1, loss = 0.8036071124310297
===>epoch 1, test accuracy 0.2119652621421679
epoch 2, loss = 0.6313142227695525
===>epoch 2, test accuracy 0.2442315180037582
epoch 3, loss = 0.49744518227304435
===>epoch 3, test accuracy 0.26525706353371364
epoch 4, loss = 0.3817873730267409
===>epoch 4, test accuracy 0.2866211846760678
epoch 5, loss = 0.3008336805444972
===>epoch 5, test accuracy 0.30077364527433087
epoch 6, loss = 0.2495126335308244
===>epoch 6, test accuracy 0.30935653704863636
epoch 7, loss = 0.2151623145237143
===>epoch 7, test accuracy 0.32134211372754823
epoch 8, loss = 0.1918853704401659
===>epoch 8, test accuracy 0.3290277801289973
epoch 9, loss = 0.17398611956912788
===>epoch 9, test accuracy 0.3366795889692065
epoch 10, loss = 0.16082634652052394
===>epoch 10, test accuracy 0.3411318582722486
epoch 11, loss = 0.15080786980910174
===>epoch 11, test accuracy 0.34600734709078906
epoch 12, loss = 0.14158289123232673
===>epoch 12, test accuracy 0.3475817236884427
epoch 13, loss = 0.13444622913606696
===>epoch 13, test accuracy 0.35081512078684973
epoch 14, loss = 0.12985719706470528
===>epoch 14, test accuracy 0.35008718322019267
epoch 15, loss = 0.1245639411825721
===>epoch 15, test accuracy 0.35277885933876185
epoch 16, loss = 0.12063351163898837
===>epoch 16, test accuracy 0.35585989741158947
epoch 17, loss = 0.11777706315632988
===>epoch 17, test accuracy 0.3560969003402685
epoch 18, loss = 0.11364759940256067
===>epoch 18, test accuracy 0.3548780281356334
epoch 19, loss = 0.11203782503793722
===>epoch 19, test accuracy 0.35824685547899987
epoch 20, loss = 0.1090504335585371
===>epoch 20, test accuracy 0.357214199861184
epoch 21, loss = 0.1071831339749717
===>epoch 21, test accuracy 0.35665555010072625
epoch 22, loss = 0.10528674362924377
===>epoch 22, test accuracy 0.35872086133635794
epoch 23, loss = 0.10442330773692622
===>epoch 23, test accuracy 0.36041373939835114
epoch 24, loss = 0.10223814985219755
===>epoch 24, test accuracy 0.35797599498908095
epoch 25, loss = 0.10159390141386188
===>epoch 25, test accuracy 0.3590763657293765
epoch 26, loss = 0.10077821318200014
===>epoch 26, test accuracy 0.3596858018316941
epoch 27, loss = 0.09908208300050882
===>epoch 27, test accuracy 0.3576374193766823
epoch 28, loss = 0.09819642918502236
===>epoch 28, test accuracy 0.35934722621929543
epoch 29, loss = 0.09767122761073682
===>epoch 29, test accuracy 0.3569433393712651
epoch 30, loss = 0.0964380205838482
===>epoch 30, test accuracy 0.3588055052394576
epoch 31, loss = 0.0954325646320562
===>epoch 31, test accuracy 0.35672326522320597
epoch 32, loss = 0.09578838165052778
===>epoch 32, test accuracy 0.35821299791775996
epoch 33, loss = 0.09433775006503164
===>epoch 33, test accuracy 0.35723112864180395
epoch 34, loss = 0.0937974494092464
===>epoch 34, test accuracy 0.3591271520712363
epoch 35, loss = 0.09383166788346521
===>epoch 35, test accuracy 0.3600074486634728
epoch 36, loss = 0.09277112789323433
===>epoch 36, test accuracy 0.3566216925394864
epoch 37, loss = 0.09282462687043821
===>epoch 37, test accuracy 0.35692641059064517
epoch 38, loss = 0.09246327410700775
===>epoch 38, test accuracy 0.3562661881464678
epoch 39, loss = 0.09181300386523131
===>epoch 39, test accuracy 0.3548103130131537
epoch 40, loss = 0.09112812904920732
===>epoch 40, test accuracy 0.35613075790150833
epoch 41, loss = 0.09072260391150565
===>epoch 41, test accuracy 0.35208477933334464
epoch 42, loss = 0.09021825381186056
===>epoch 42, test accuracy 0.3559445413146891
epoch 43, loss = 0.08995678415473982
===>epoch 43, test accuracy 0.3572649862030438
epoch 44, loss = 0.09052718848474998
===>epoch 44, test accuracy 0.35560596570229047
epoch 45, loss = 0.08962238058561028
===>epoch 45, test accuracy 0.35665555010072625
epoch 46, loss = 0.08908311456528115
===>epoch 46, test accuracy 0.35431937837517563
epoch 47, loss = 0.0892748084438839
===>epoch 47, test accuracy 0.3579929237697009
epoch 48, loss = 0.0891846695552168
===>epoch 48, test accuracy 0.3568079091263056
epoch 49, loss = 0.08907521078671367
===>epoch 49, test accuracy 0.3566724788813462
epoch 50, loss = 0.08766151362162122
===>epoch 50, test accuracy 0.35453945252323477
