epoch 1, loss = 0.8022762395962426
===>epoch 1, test accuracy 0.21353963873982157
epoch 2, loss = 0.6218778696619229
===>epoch 2, test accuracy 0.24023632577745424
epoch 3, loss = 0.48633033595429453
===>epoch 3, test accuracy 0.26364882937482015
epoch 4, loss = 0.37214336843817797
===>epoch 4, test accuracy 0.2841834402667976
epoch 5, loss = 0.2910605861348618
===>epoch 5, test accuracy 0.29794653891080225
epoch 6, loss = 0.2382897856483515
===>epoch 6, test accuracy 0.30859474192073943
epoch 7, loss = 0.20379241701772685
===>epoch 7, test accuracy 0.3172453488175247
epoch 8, loss = 0.18006054872482916
===>epoch 8, test accuracy 0.32347514008565964
epoch 9, loss = 0.1627520179905312
===>epoch 9, test accuracy 0.32787662304684195
epoch 10, loss = 0.14957898431388203
===>epoch 10, test accuracy 0.33270132552352255
epoch 11, loss = 0.13914405073132557
===>epoch 11, test accuracy 0.3355961470095309
epoch 12, loss = 0.13076128014209157
===>epoch 12, test accuracy 0.3385756123986389
epoch 13, loss = 0.12388658382943822
===>epoch 13, test accuracy 0.34109800071100876
epoch 14, loss = 0.11815626912552131
===>epoch 14, test accuracy 0.3420798699869648
epoch 15, loss = 0.11332957285720766
===>epoch 15, test accuracy 0.34323102706912023
epoch 16, loss = 0.10925818109848287
===>epoch 16, test accuracy 0.34311252560478067
epoch 17, loss = 0.10575476302316691
===>epoch 17, test accuracy 0.34250308950246316
epoch 18, loss = 0.10271052174310957
===>epoch 18, test accuracy 0.3433156709722199
epoch 19, loss = 0.10007882919641106
===>epoch 19, test accuracy 0.3431971695078804
epoch 20, loss = 0.0977565737095603
===>epoch 20, test accuracy 0.3435865314621388
epoch 21, loss = 0.09571746366933029
===>epoch 21, test accuracy 0.3436542465846185
epoch 22, loss = 0.09388098487674537
===>epoch 22, test accuracy 0.3438066056101979
epoch 23, loss = 0.0922467608979684
===>epoch 23, test accuracy 0.343535745120279
epoch 24, loss = 0.0907725245358235
===>epoch 24, test accuracy 0.34385739195205767
epoch 25, loss = 0.0894163830225992
===>epoch 25, test accuracy 0.3426893060892824
epoch 26, loss = 0.0882287924248824
===>epoch 26, test accuracy 0.3451947656210323
epoch 27, loss = 0.08713444803038717
===>epoch 27, test accuracy 0.34240151681874353
epoch 28, loss = 0.08611017517850451
===>epoch 28, test accuracy 0.3445853295187148
epoch 29, loss = 0.08517222053340323
===>epoch 29, test accuracy 0.3439081782939175
epoch 30, loss = 0.08434559339248651
===>epoch 30, test accuracy 0.34348495877841917
epoch 31, loss = 0.08354916387927197
===>epoch 31, test accuracy 0.3436373178039986
epoch 32, loss = 0.08283003511741736
===>epoch 32, test accuracy 0.3440774661001168
epoch 33, loss = 0.08216524707667555
===>epoch 33, test accuracy 0.3431971695078804
epoch 34, loss = 0.08149229555409292
===>epoch 34, test accuracy 0.3433325997528398
epoch 35, loss = 0.08090907079994332
===>epoch 35, test accuracy 0.34577034416211
epoch 36, loss = 0.08036817636917652
===>epoch 36, test accuracy 0.3421983714513044
epoch 37, loss = 0.0798248923594286
===>epoch 37, test accuracy 0.3439589646357773
epoch 38, loss = 0.07934365420253633
===>epoch 38, test accuracy 0.3421306563288246
epoch 39, loss = 0.07889822729214079
===>epoch 39, test accuracy 0.34409439488073673
epoch 40, loss = 0.0784646749668436
===>epoch 40, test accuracy 0.342536947063703
epoch 41, loss = 0.07806057927088575
===>epoch 41, test accuracy 0.3427570212117621
epoch 42, loss = 0.07768862302630163
===>epoch 42, test accuracy 0.34336645731407966
epoch 43, loss = 0.07731925286213999
===>epoch 43, test accuracy 0.34404360853887694
epoch 44, loss = 0.07699157697764081
===>epoch 44, test accuracy 0.3421983714513044
epoch 45, loss = 0.07666238152704113
===>epoch 45, test accuracy 0.34272316365052224
epoch 46, loss = 0.07636081848476699
===>epoch 46, test accuracy 0.3424353743799834
epoch 47, loss = 0.07605968085509739
===>epoch 47, test accuracy 0.34229994413502396
epoch 48, loss = 0.07578216974372881
===>epoch 48, test accuracy 0.3423845880381236
epoch 49, loss = 0.07550572661958223
===>epoch 49, test accuracy 0.3424861607218432
epoch 50, loss = 0.07527866807199043
===>epoch 50, test accuracy 0.3428078075536219
